Mar 22 21:56:50 Kernel: Set Alias: switchshell
Mar 22 21:56:50 Kernel: Set Alias: su
Mar 22 21:56:50 Kernel: Set Alias: echo
Mar 22 21:56:50 Kernel: Set Alias: ccpt
Mar 22 21:56:50 Kernel: Set Alias: sudo
Mar 22 21:56:50 Kernel: Initilizing Kernel...
Mar 22 21:56:50 Kernel: Set Alias: ls
Mar 22 21:56:50 Kernel: Set Alias: cd
Mar 22 21:56:50 Kernel: Set Alias: cat
Mar 22 21:56:50 Kernel: Set Alias: grep
Mar 22 21:56:50 Kernel: Set Alias: log
Mar 22 21:56:50 Kernel: Set Alias: version
Mar 22 21:56:50 Kernel: Set Alias: switchshell
Mar 22 21:56:50 Kernel: Set Alias: su
Mar 22 21:56:50 Kernel: Set Alias: echo
Mar 22 21:56:50 Kernel: Set Alias: ccpt
Mar 22 21:56:50 Kernel: Set Alias: sudo
Mar 22 21:59:30 Kernel: Initilizing Kernel...
Mar 22 21:59:30 Kernel: Set Alias: ls
Mar 22 21:59:30 Kernel: Set Alias: cd
Mar 22 21:59:30 Kernel: Set Alias: cat
Mar 22 21:59:30 Kernel: Set Alias: grep
Mar 22 21:59:30 Kernel: Set Alias: log
Mar 22 21:59:30 Kernel: Set Alias: version
Mar 22 21:59:30 Kernel: Set Alias: switchshell
Mar 22 21:59:30 Kernel: Set Alias: su
Mar 22 21:59:30 Kernel: Set Alias: echo
Mar 22 21:59:30 Kernel: Set Alias: ccpt
Mar 22 21:59:30 Kernel: Set Alias: sudo
Mar 22 21:59:30 Kernel: Initilizing Kernel...
Mar 22 21:59:30 Kernel: Set Alias: ls
Mar 22 21:59:30 Kernel: Set Alias: cd
Mar 22 21:59:30 Kernel: Set Alias: cat
Mar 22 21:59:30 Kernel: Set Alias: grep
Mar 22 21:59:30 Kernel: Set Alias: log
Mar 22 21:59:30 Kernel: Set Alias: version
Mar 22 21:59:30 Kernel: Set Alias: switchshell
Mar 22 21:59:30 Kernel: Set Alias: su
Mar 22 21:59:30 Kernel: Set Alias: echo
Mar 22 21:59:30 Kernel: Set Alias: ccpt
Mar 22 21:59:30 Kernel: Set Alias: sudo
